タイトル	名詞,*,*,*,*,タイトル,タイトル
カジノ	名詞,*,*,*,*,カジノ,カジノ
に	助詞,格助詞,*,*,*,に,ニ
いる	動詞,*,*,連体形,ア行上一段,居る,イル
時	名詞,*,*,*,*,時,トキ
に	助詞,格助詞,*,*,*,に,ニ
も	助詞,副助詞,*,*,*,も,モ
パスポート	名詞,*,*,*,*,パスポート,パスポート
見せろ	動詞,*,*,命令形,サ行下一段,見せる,ミセロ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
凄い	形容詞,*,*,連体形,形容詞型,凄い,スゴイ
言わ	動詞,*,*,未然形,ワア行五段,言う,イワ
れ	助動詞,*,*,連用形,*,れる,レ
た	助動詞,*,*,連体形,*,た,タ
ぐらい	助詞,副助詞,*,*,*,くらい,グライ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
勿論	副詞,*,*,*,*,勿論,モチロン
そんな	形状詞,*,*,*,*,そんな,ソンナ
EOS
高い	形容詞,*,*,連体形,形容詞型,高い,タカイ
ホテル	名詞,*,*,*,*,ホテル,ホテル
に	助詞,格助詞,*,*,*,に,ニ
泊まれる	動詞,*,*,連体形,ラ行下一段,泊まれる,トマレル
訳	名詞,*,*,*,*,訳,ワケ
は	助詞,係助詞,*,*,*,は,ワ
ない	形容詞,*,*,終止形,形容詞型,無い,ナイ
みたい	形状詞,*,*,*,*,みたい,ミタイ
な	助動詞,*,*,連体形,*,だ,ナ
感じ	名詞,*,*,*,*,感じ,カンジ
で	助動詞,*,*,連用形,*,だ,デ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
あっち	名詞,代名詞,*,*,*,彼方,アッチ
に	助詞,格助詞,*,*,*,に,ニ
も	助詞,副助詞,*,*,*,も,モ
思わ	動詞,*,*,未然形,ワア行五段,思う,オモワ
れ	助動詞,*,*,連用形,*,れる,レ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
ホテル	名詞,*,*,*,*,ホテル,ホテル
は	助詞,係助詞,*,*,*,は,ワ
泊まっ	動詞,*,促音便,連用形,ラ行五段,泊まる,トマッ
てる	助動詞,*,*,連体形,*,てる,テル
人	名詞,*,*,*,*,人,ヒト
しか	助詞,副助詞,*,*,*,しか,シカ
もう	副詞,*,*,*,*,もう,モー
入れ	動詞,*,*,未然形,ラ行下一段,入れる,ハイレ
なく	助動詞,*,*,連用形,*,ない,ナク
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
ね	助詞,終助詞,*,*,*,ね,ネ
その	連体詞,*,*,*,*,其の,ソノ
カウント	名詞,*,*,*,*,カウント,カウント
ダウン	名詞,*,*,*,*,ダウン,ダウン
の	助詞,格助詞,*,*,*,の,ノ
時	名詞,*,*,*,*,時,トキ
に	助詞,格助詞,*,*,*,に,ニ
は	助詞,係助詞,*,*,*,は,ワ
FV	*,*,*,*,*,,FV
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
夕	名詞,*,*,*,*,夕,ユー
御飯	名詞,*,*,*,*,御飯,ゴハン
を	助詞,格助詞,*,*,*,を,オ
食べる	動詞,*,*,終止形,バ行下一段,食べる,タベル
EOS
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
言っ	動詞,*,促音便,連用形,ワア行五段,言う,イッ
て	助詞,接続助詞,*,*,*,て,テ
中	名詞,*,*,*,*,中,ナカ
に	助詞,格助詞,*,*,*,に,ニ
入っ	動詞,*,促音便,連用形,ラ行五段,入る,ハイッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
FV	*,*,*,*,*,,FV
結局	副詞,*,*,*,*,結局,ケッキョク
外	名詞,*,*,*,*,外,ソト
で	助詞,格助詞,*,*,*,で,デ
カウント	名詞,*,*,*,*,カウント,カウント
ダウン	名詞,*,*,*,*,ダウン,ダウン
を	助詞,格助詞,*,*,*,を,オ
し	動詞,*,*,連用形,サ行変格,為る,シ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
EOS
派手	形状詞,*,*,*,*,派手,ハデ
で	助動詞,*,*,連用形,*,だ,デ
EOS
パフォーマンス	名詞,*,*,*,*,パフォーマンス,パフォーマンス
も	助詞,副助詞,*,*,*,も,モ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
鳥	名詞,*,*,*,*,鳥,トリ
人間	名詞,*,*,*,*,人間,ニンゲン
みたい	形状詞,*,*,*,*,みたい,ミタイ
な	助動詞,*,*,連体形,*,だ,ナ
人	名詞,*,*,*,*,人,ヒト
も	助詞,副助詞,*,*,*,も,モ
出	動詞,*,*,連用形,ダ行下一段,出る,デ
て	助詞,接続助詞,*,*,*,て,テ
き	動詞,*,*,連用形,カ行変格,来る,キ
て	助詞,接続助詞,*,*,*,て,テ
EOS
パリ	名詞,固有名詞,*,*,*,パリ,パリ
の	助詞,格助詞,*,*,*,の,ノ
エッフェル	名詞,*,*,*,*,エッフェル,エッフェル
塔	名詞,*,*,*,*,塔,トー
を	助詞,格助詞,*,*,*,を,オ
真似	動詞,*,*,連用形,ナ行下一段,真似る,マネ
た	助動詞,*,*,連体形,*,た,タ
建物	名詞,*,*,*,*,建物,タテモノ
が	助詞,格助詞,*,*,*,が,ガ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
その	連体詞,*,*,*,*,其の,ソノ
上	名詞,*,*,*,*,上,ウエ
で	助詞,格助詞,*,*,*,で,デ
サーカス	名詞,*,*,*,*,サーカス,サーカス
みたい	形状詞,*,*,*,*,みたい,ミタイ
な	助動詞,*,*,連体形,*,だ,ナ
こと	名詞,*,*,*,*,事,コト
やっ	動詞,*,促音便,連用形,ラ行五段,遣る,ヤッ
たり	助詞,副助詞,*,*,*,たり,タリ
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
EOS
とにかく	副詞,*,*,*,*,兎に角,トニカク
派手	形状詞,*,*,*,*,派手,ハデ
で	助動詞,*,*,連用形,*,だ,デ
EOS
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
これ	名詞,代名詞,*,*,*,此れ,コレ
ぞ	助詞,副助詞,*,*,*,ぞ,ゾ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユウ
感じ	名詞,*,*,*,*,感じ,カンジ
で	助動詞,*,*,連用形,*,だ,デ
EOS
良かっ	形容詞,*,促音便,連用形,形容詞型,良い,ヨカッ
た	助動詞,*,*,終止形,*,た,タ
な	助詞,終助詞,*,*,*,な,ナ
と	助詞,格助詞,*,*,*,と,ト
思い	動詞,*,*,連用形,ワア行五段,思う,オモイ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
今	名詞,*,*,*,*,今,イマ
まで	助詞,副助詞,*,*,*,まで,マデ
こう	副詞,*,*,*,*,こう,コー
日本	名詞,固有名詞,*,*,*,日本,ニホン
で	助詞,格助詞,*,*,*,で,デ
除夜	名詞,*,*,*,*,除夜,ジョヤ
の	助詞,格助詞,*,*,*,の,ノ
鐘	名詞,*,*,*,*,鐘,カネ
を	助詞,格助詞,*,*,*,を,オ
聞い	動詞,*,イ音便,連用形,カ行五段,聞く,キー
て	助動詞,*,*,連用形,*,てる,テ
た	助動詞,*,*,連体形,*,た,タ
こと	名詞,*,*,*,*,事,コト
しか	助詞,副助詞,*,*,*,しか,シカ
なかっ	形容詞,*,促音便,連用形,形容詞型,無い,ナカッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
FV	*,*,*,*,*,,FV
ぴいぴい	副詞,*,*,*,*,ぴいぴい,ピーピー
言っ	動詞,*,促音便,連用形,ワア行五段,言う,ユッ
てる	助動詞,*,*,連体形,*,てる,テル
EOS
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
人	名詞,接尾辞,*,*,*,人,ジン
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
新鮮	形状詞,*,*,*,*,新鮮,シンセン
に	助動詞,*,*,連用形,*,だ,ニ
思え	動詞,*,*,連用形,ア行下一段,思える,オモエ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
そんな	連体詞,*,*,*,*,そんな,ソンナ
感じ	名詞,*,*,*,*,感じ,カンジ
で	助動詞,*,*,連用形,*,だ,デ
EOS
二十	名詞,数詞,*,*,*,二十,ニジュー
一	名詞,数詞,*,*,*,一,イチ
日間	名詞,接尾辞,*,*,*,日間,ニチカン
の	助詞,格助詞,*,*,*,の,ノ
旅行	名詞,*,*,*,*,旅行,リョコー
は	助詞,係助詞,*,*,*,は,ワ
長い	形容詞,*,*,連体形,形容詞型,長い,ナガイ
よう	形状詞,*,*,*,*,様,ヨー
で	助動詞,*,*,連用形,*,だ,デ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
間	名詞,*,*,*,*,間,マ
に	助詞,格助詞,*,*,*,に,ニ
終わっ	動詞,*,促音便,連用形,ラ行五段,終わる,オワッ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
これ	名詞,代名詞,*,*,*,此れ,コレ
が	助詞,格助詞,*,*,*,が,ガ
学生	名詞,*,*,*,*,学生,ガクセー
最後	名詞,*,*,*,*,最後,サイゴ
の	助詞,格助詞,*,*,*,の,ノ
多分	副詞,*,*,*,*,多分,タブン
EOS
一番	副詞,*,*,*,*,一番,イチバン
長い	形容詞,*,*,連体形,形容詞型,長い,ナガイ
EOS
旅行	名詞,*,*,*,*,旅行,リョコー
に	助詞,格助詞,*,*,*,に,ニ
なる	動詞,*,*,連体形,ラ行五段,成る,ナル
ん	助詞,準体助詞,*,*,*,の,ン
だ	助動詞,*,*,終止形,*,だ,ダ
と	助詞,格助詞,*,*,*,と,ト
思い	動詞,*,*,連用形,ワア行五段,思う,オモイ
ます	助動詞,*,*,終止形,*,ます,マス
EOS
以上	名詞,*,*,*,*,以上,イジョー
です	助動詞,*,*,終止形,*,です,デス
EOS
